review_id,student_id,instructor_id,course_id,review_text,review_date,rating_score,response_time,sentiment_label,region,device_type,completed_courses,satisfaction_score,full_name,country,experience_years,course_count,avg_response_time,title,category,language,duration_hours,level
1,2889,21,69,The instructor was very clear and made the course enjoyable.,3/4/2025,5,17.74,Positive,South America,Mobile,6,8.0,Anita Murphy,Indonesia,7,4,23.86,Horizontal didactic structure,Health,English,33.7,Intermediate
2,2581,46,130,Too fast-paced and lacked clear explanations.,10/11/2024,2,10.87,Negative,South America,Mobile,8,6.0,Chad Barron,Belgium,18,1,5.26,Enhanced web-enabled frame,Business,Spanish,14.1,Beginner
3,344,48,20,Not engaging at all. I struggled to stay focused throughout.,3/5/2025,1,4.1,Negative,South America,Mobile,13,1.0,Kenneth Hernandez,Congo,13,4,32.77,Triple-buffered asymmetric neural-net,Creative,German,35.3,Intermediate
4,2,70,145,"The instructor was fine, but the pace felt a bit off.",5/20/2024,3,66.74,Neutral,Europe,Mobile,13,6.0,Janice Perez,Cambodia,7,3,22.64,Monitored mobile utilization,Business,French,10.4,Beginner
5,1668,48,58,"The course was okay, but I expected more practical examples.",3/28/2025,3,29.1,Neutral,Asia,Mobile,7,3.0,Kenneth Hernandez,Congo,13,4,32.77,Upgradable intermediate approach,Tech,French,33.6,Advanced
6,2912,35,15,The instructor was hard to follow and rarely responded to questions.,11/5/2024,1,39.94,Negative,Asia,Mobile,12,5.0,Roger Bailey,Svalbard & Jan Mayen Islands,11,2,7.57,Multi-tiered 6thgeneration circuit,Tech,French,33.5,Intermediate
7,1235,45,34,The course structure and delivery exceeded my expectations.,9/2/2024,5,28.86,Positive,Africa,Desktop,19,6.0,Cheyenne Manning,Saint Pierre and Miquelon,15,5,41.54,Automated analyzing software,Tech,German,19.9,Advanced
8,2195,20,23,Excellent pacing and real-world examples. Highly recommend!,5/12/2025,4,53.46,Positive,North America,Mobile,9,6.0,Jessica Mitchell,Italy,18,4,7.91,Object-based composite help-desk,Data Science,Spanish,37.8,Beginner
9,2016,3,124,Neither bad nor great – just an average learning experience.,6/28/2024,3,43.61,Neutral,South America,Desktop,14,6.0,Melissa Evans,Malta,9,4,37.82,Programmable 3rdgeneration analyzer,Creative,Spanish,37.5,Intermediate
10,709,18,76,Excellent pacing and real-world examples. Highly recommend!,10/14/2024,5,67.23,Positive,Asia,Mobile,3,6.0,Adam Henderson,Afghanistan,20,3,36.99,Function-based global software,Creative,French,11.0,Intermediate
11,2707,70,149,I appreciated the timely feedback and engaging content.,7/24/2024,4,29.33,Positive,South America,Mobile,14,5.0,Janice Perez,Cambodia,7,3,22.64,Secured dynamic monitoring,Language,Spanish,1.7,Beginner
12,2331,16,97,The feedback was delayed and often unhelpful.,4/20/2025,1,4.36,Negative,North America,Mobile,19,8.0,Kelly Wright,Chad,8,2,24.36,Multi-layered intangible structure,Business,French,32.4,Intermediate
13,2330,37,22,Great teaching style – the explanations were easy to follow.,3/31/2025,4,24.14,Positive,Asia,Desktop,1,3.0,Katherine Martinez,Wallis and Futuna,3,5,17.55,Multi-lateral national attitude,Creative,Spanish,19.6,Beginner
14,1903,4,19,"Decent course, though it lacked in-depth discussion.",7/22/2024,3,9.95,Neutral,South America,Mobile,15,9.0,Kristen Caldwell,Mauritius,8,4,26.4,Diverse analyzing software,Data Science,French,1.8,Intermediate
15,1426,7,107,I didn’t gain much from this course. It felt rushed and unstructured.,9/25/2024,2,54.75,Negative,Asia,Desktop,13,5.0,Sherry Smith,Liechtenstein,4,2,2.9,Stand-alone national success,Creative,English,20.1,Advanced
16,1217,15,111,Excellent pacing and real-world examples. Highly recommend!,3/25/2025,4,38.33,Positive,South America,Desktop,11,9.0,Sarah Oconnell,Micronesia,7,1,5.94,Advanced regional knowledgebase,Tech,Spanish,18.9,Advanced
17,912,4,71,"The instructor was fine, but the pace felt a bit off.",6/29/2024,3,23.29,Neutral,Europe,Desktop,5,6.0,Kristen Caldwell,Mauritius,8,4,26.4,Public-key mission-critical data-warehouse,Creative,English,10.3,Beginner
18,1413,75,132,The feedback was delayed and often unhelpful.,8/29/2024,1,40.4,Negative,Africa,Mobile,15,5.0,Victoria Lynn,Georgia,18,3,22.38,Public-key 24/7 task-force,Language,English,13.7,Advanced
19,999,18,77,I didn’t gain much from this course. It felt rushed and unstructured.,11/23/2024,2,70.59,Negative,South America,Mobile,6,6.0,Adam Henderson,Afghanistan,20,3,36.99,Polarized actuating initiative,Business,French,15.4,Intermediate
20,36,69,91,Too fast-paced and lacked clear explanations.,4/17/2025,1,62.75,Negative,North America,Mobile,8,5.0,Garrett Thompson,Cote d'Ivoire,12,1,10.75,Profound content-based encoding,Tech,German,24.1,Intermediate
21,1904,34,132,The feedback was delayed and often unhelpful.,1/11/2025,1,28.23,Negative,Europe,Mobile,19,7.0,Michael Nunez,Singapore,7,3,25.81,Public-key 24/7 task-force,Language,English,13.7,Advanced
22,2558,68,95,The instructor was hard to follow and rarely responded to questions.,3/31/2025,2,65.81,Negative,Asia,Mobile,12,3.0,Jason Washington,Wallis and Futuna,12,5,13.44,Face-to-face client-driven definition,Health,Spanish,12.8,Beginner
23,1392,55,106,Not engaging at all. I struggled to stay focused throughout.,6/9/2024,1,24.68,Negative,Africa,Mobile,9,6.0,Randall Ballard,Sweden,7,1,39.14,Mandatory contextually-based archive,Language,French,17.4,Beginner
24,2310,74,50,The instructor was hard to follow and rarely responded to questions.,2/27/2025,2,63.34,Negative,North America,Desktop,7,9.0,Robert Hancock,Sri Lanka,6,2,44.47,Open-architected cohesive adapter,Tech,French,11.1,Advanced
25,2361,60,70,The course structure and delivery exceeded my expectations.,12/4/2024,4,27.61,Positive,North America,Desktop,13,9.0,Ivan Stanley,San Marino,3,3,23.48,Front-line even-keeled process improvement,Health,German,25.2,Beginner
26,847,68,38,"The course was okay, but I expected more practical examples.",3/31/2025,3,30.03,Neutral,South America,Mobile,7,4.0,Jason Washington,Wallis and Futuna,12,5,13.44,Seamless solution-oriented hub,Tech,Spanish,29.2,Advanced
27,645,68,114,Great teaching style – the explanations were easy to follow.,1/12/2025,4,7.52,Positive,South America,Desktop,15,3.0,Jason Washington,Wallis and Futuna,12,5,13.44,Fully-configurable real-time superstructure,Creative,English,21.3,Advanced
28,1799,53,138,Not engaging at all. I struggled to stay focused throughout.,9/18/2024,1,16.71,Negative,North America,Mobile,5,5.0,Paige Glover,Bhutan,12,5,23.74,Self-enabling incremental secured line,Tech,French,35.3,Beginner
29,478,3,34,I didn’t gain much from this course. It felt rushed and unstructured.,5/4/2025,1,39.68,Negative,Europe,Mobile,20,5.0,Melissa Evans,Malta,9,4,37.82,Automated analyzing software,Tech,German,19.9,Advanced
30,134,23,137,The course structure and delivery exceeded my expectations.,12/22/2024,5,42.33,Positive,Africa,Mobile,3,6.0,Emma Ramsey,Ecuador,14,2,14.19,Synergistic 24/7 task-force,Tech,German,24.3,Advanced
31,1364,3,11,The instructor was hard to follow and rarely responded to questions.,5/20/2024,2,5.57,Negative,South America,Mobile,8,6.0,Melissa Evans,Malta,9,4,37.82,Triple-buffered foreground encoding,Data Science,English,17.2,Intermediate
32,2180,41,117,Great teaching style – the explanations were easy to follow.,7/28/2024,5,65.09,Positive,Africa,Mobile,17,9.0,Leah Burnett,Greenland,12,1,5.27,Total optimizing task-force,Business,English,36.9,Beginner
33,652,41,135,"Content was decent, but the delivery could have been better.",2/5/2025,3,62.47,Neutral,South America,Desktop,3,5.0,Leah Burnett,Greenland,12,1,5.27,Persevering disintermediate knowledgebase,Data Science,German,11.1,Intermediate
34,78,66,97,"The course was okay, but I expected more practical examples.",4/19/2025,3,9.95,Neutral,Europe,Desktop,2,4.0,Amy Ball,Saint Pierre and Miquelon,12,5,17.61,Multi-layered intangible structure,Business,French,32.4,Intermediate
35,1860,64,75,The instructor was very clear and made the course enjoyable.,10/14/2024,5,70.13,Positive,North America,Mobile,12,6.0,Mary Hays,Northern Mariana Islands,9,1,6.53,Optional bottom-line pricing structure,Language,English,19.1,Beginner
36,737,46,105,Not engaging at all. I struggled to stay focused throughout.,10/2/2024,2,34.73,Negative,Europe,Mobile,20,4.0,Chad Barron,Belgium,18,1,5.26,Reduced non-volatile throughput,Health,French,1.5,Advanced
37,381,12,100,Great teaching style – the explanations were easy to follow.,12/30/2024,5,4.77,Positive,Asia,Mobile,1,4.0,Timothy Allen,Heard Island and McDonald Islands,2,3,4.66,Polarized scalable parallelism,Business,German,2.6,Intermediate
38,1794,20,114,Not engaging at all. I struggled to stay focused throughout.,6/9/2024,2,13.21,Negative,Africa,Mobile,15,5.0,Jessica Mitchell,Italy,18,4,7.91,Fully-configurable real-time superstructure,Creative,English,21.3,Advanced
39,1519,48,127,The course structure and delivery exceeded my expectations.,6/11/2024,4,42.86,Positive,South America,Mobile,12,9.0,Kenneth Hernandez,Congo,13,4,32.77,Triple-buffered optimizing intranet,Business,English,30.3,Intermediate
40,1093,72,66,Too fast-paced and lacked clear explanations.,11/9/2024,1,38.08,Negative,Africa,Mobile,4,4.0,Jamie Kane,Pakistan,3,5,14.81,Inverse multi-tasking initiative,Data Science,German,2.6,Intermediate
41,739,68,107,Not engaging at all. I struggled to stay focused throughout.,10/26/2024,1,69.9,Negative,South America,Desktop,10,3.0,Jason Washington,Wallis and Futuna,12,5,13.44,Stand-alone national success,Creative,English,20.1,Advanced
42,514,57,38,The instructor was very clear and made the course enjoyable.,9/26/2024,4,56.51,Positive,Africa,Desktop,17,7.0,Nichole Peterson,Tanzania,2,3,6.46,Seamless solution-oriented hub,Tech,Spanish,29.2,Advanced
43,1546,44,123,Great teaching style – the explanations were easy to follow.,6/12/2024,4,37.15,Positive,Asia,Mobile,1,5.0,Kelly Osborn,Slovenia,2,4,43.65,Multi-channeled human-resource analyzer,Business,German,10.6,Intermediate
44,2464,56,121,I didn’t gain much from this course. It felt rushed and unstructured.,4/14/2025,2,38.15,Negative,Asia,Mobile,19,6.0,Gina Ortega,Botswana,3,5,10.76,Optional client-server application,Language,German,24.1,Beginner
45,429,60,129,The instructor was very clear and made the course enjoyable.,7/13/2024,4,36.96,Positive,Europe,Desktop,5,5.0,Ivan Stanley,San Marino,3,3,23.48,Virtual fresh-thinking functionalities,Creative,Spanish,27.1,Beginner
46,1078,22,135,Great teaching style – the explanations were easy to follow.,8/16/2024,5,35.79,Positive,North America,Desktop,5,8.0,Eric Bowman,Georgia,18,4,27.29,Persevering disintermediate knowledgebase,Data Science,German,11.1,Intermediate
47,663,42,146,The course structure and delivery exceeded my expectations.,3/31/2025,5,29.07,Positive,Africa,Desktop,15,6.0,Andrea Zimmerman,Korea,20,2,31.03,Virtual full-range throughput,Language,Spanish,19.6,Advanced
48,2831,20,76,I didn’t gain much from this course. It felt rushed and unstructured.,4/5/2025,1,65.02,Negative,Europe,Desktop,7,4.0,Jessica Mitchell,Italy,18,4,7.91,Function-based global software,Creative,French,11.0,Intermediate
49,1183,16,94,The course structure and delivery exceeded my expectations.,8/22/2024,4,5.93,Positive,South America,Desktop,3,4.0,Kelly Wright,Chad,8,2,24.36,Managed zero administration database,Business,French,28.2,Advanced
50,698,52,146,I appreciated the timely feedback and engaging content.,1/26/2025,4,33.86,Positive,Africa,Desktop,9,7.0,Jerry Munoz,Iran,20,3,28.27,Virtual full-range throughput,Language,Spanish,19.6,Advanced
51,2189,73,36,Neither bad nor great – just an average learning experience.,12/16/2024,3,35.48,Neutral,Europe,Desktop,10,6.0,Ashley Walton,Tokelau,20,2,13.49,Up-sized mission-critical orchestration,Language,German,27.1,Intermediate
52,1361,44,17,Neither bad nor great – just an average learning experience.,2/2/2025,3,31.59,Neutral,Asia,Desktop,20,6.0,Kelly Osborn,Slovenia,2,4,43.65,Seamless system-worthy framework,Data Science,Spanish,31.0,Advanced
53,2485,65,59,The instructor was hard to follow and rarely responded to questions.,10/25/2024,1,20.07,Negative,Asia,Mobile,4,5.0,Edgar Richards,Singapore,15,3,20.52,Cross-platform homogeneous leverage,Health,English,19.3,Beginner
54,2436,45,59,Not engaging at all. I struggled to stay focused throughout.,6/20/2024,2,8.3,Negative,South America,Desktop,16,3.0,Cheyenne Manning,Saint Pierre and Miquelon,15,5,41.54,Cross-platform homogeneous leverage,Health,English,19.3,Beginner
55,971,14,93,Not engaging at all. I struggled to stay focused throughout.,12/3/2024,2,4.32,Negative,South America,Desktop,5,5.0,Joshua Hogan,United Kingdom,3,3,45.56,Optional tangible product,Health,French,10.5,Advanced
56,2957,49,95,"Content was decent, but the delivery could have been better.",11/22/2024,3,39.62,Neutral,Asia,Mobile,17,6.0,Timothy Lewis,Paraguay,3,5,11.85,Face-to-face client-driven definition,Health,Spanish,12.8,Beginner
57,2739,65,144,The instructor was hard to follow and rarely responded to questions.,3/3/2025,1,31.19,Negative,Asia,Mobile,9,4.0,Edgar Richards,Singapore,15,3,20.52,Monitored local workforce,Creative,German,22.7,Intermediate
58,2474,14,127,"The course was okay, but I expected more practical examples.",8/27/2024,3,13.31,Neutral,South America,Mobile,18,6.0,Joshua Hogan,United Kingdom,3,3,45.56,Triple-buffered optimizing intranet,Business,English,30.3,Intermediate
59,2103,55,120,"The instructor was fine, but the pace felt a bit off.",8/10/2024,3,48.32,Neutral,Asia,Desktop,12,7.0,Randall Ballard,Sweden,7,1,39.14,Networked demand-driven circuit,Tech,Spanish,33.2,Beginner
60,2737,61,26,I appreciated the timely feedback and engaging content.,3/1/2025,4,47.57,Positive,North America,Desktop,12,6.0,Steven Jones,Brazil,8,4,35.54,Integrated multi-tasking interface,Health,English,35.8,Intermediate
